"","Country","Year","Indicator","RCode","Region","CCode","Male","Female","Both_Sexes"
"191","Brunei Darussalam",2019,"Life expectancy at age 60 (years)","WPR","Western Pacific","BRN",18.97,19.38,19.17
"192","Brunei Darussalam",2019,"Life expectancy at birth (years)","WPR","Western Pacific","BRN",73.39,75.36,74.32
"193","Bulgaria",2000,"Life expectancy at age 60 (years)","EUR","Europe","BGR",15.86,19.2,17.6
"194","Bulgaria",2000,"Life expectancy at birth (years)","EUR","Europe","BGR",68.4,74.97,71.61
"195","Bulgaria",2010,"Life expectancy at age 60 (years)","EUR","Europe","BGR",16.69,20.92,18.92
"196","Bulgaria",2010,"Life expectancy at birth (years)","EUR","Europe","BGR",70.19,77.23,73.64
"197","Bulgaria",2015,"Life expectancy at age 60 (years)","EUR","Europe","BGR",17.06,21.5,19.4
"198","Bulgaria",2015,"Life expectancy at birth (years)","EUR","Europe","BGR",71.17,78.04,74.55
"199","Bulgaria",2019,"Life expectancy at age 60 (years)","EUR","Europe","BGR",17.41,21.97,19.82
"200","Bulgaria",2019,"Life expectancy at birth (years)","EUR","Europe","BGR",71.65,78.6,75.07
"201","Burkina Faso",2000,"Life expectancy at age 60 (years)","AFR","Africa","BFA",14.1,16.62,15.52
"202","Burkina Faso",2000,"Life expectancy at birth (years)","AFR","Africa","BFA",49.92,53.14,51.64
"203","Burkina Faso",2010,"Life expectancy at age 60 (years)","AFR","Africa","BFA",14.53,17.43,16.17
"204","Burkina Faso",2010,"Life expectancy at birth (years)","AFR","Africa","BFA",56.19,60.79,58.59
"205","Burkina Faso",2015,"Life expectancy at age 60 (years)","AFR","Africa","BFA",14.75,17.76,16.44
"206","Burkina Faso",2015,"Life expectancy at birth (years)","AFR","Africa","BFA",58.24,63.45,60.92
"207","Burkina Faso",2019,"Life expectancy at age 60 (years)","AFR","Africa","BFA",15.23,18.06,16.82
"208","Burkina Faso",2019,"Life expectancy at birth (years)","AFR","Africa","BFA",60.06,65.23,62.7
"209","Burundi",2000,"Life expectancy at age 60 (years)","AFR","Africa","BDI",11.77,14.03,12.97
"210","Burundi",2000,"Life expectancy at birth (years)","AFR","Africa","BDI",41.79,45.85,43.78
"211","Burundi",2010,"Life expectancy at age 60 (years)","AFR","Africa","BDI",14.24,16.83,15.61
"212","Burundi",2010,"Life expectancy at birth (years)","AFR","Africa","BDI",56.86,60.32,58.6
"213","Burundi",2015,"Life expectancy at age 60 (years)","AFR","Africa","BDI",14.85,17.39,16.18
"214","Burundi",2015,"Life expectancy at birth (years)","AFR","Africa","BDI",59.84,64.26,62.05
"215","Burundi",2019,"Life expectancy at age 60 (years)","AFR","Africa","BDI",15.22,17.63,16.47
"216","Burundi",2019,"Life expectancy at birth (years)","AFR","Africa","BDI",61.55,66.14,63.84
"217","Cabo Verde",2000,"Life expectancy at age 60 (years)","AFR","Africa","CPV",18.17,22.25,20.36
"218","Cabo Verde",2000,"Life expectancy at birth (years)","AFR","Africa","CPV",66.89,74.61,70.97
"219","Cabo Verde",2010,"Life expectancy at age 60 (years)","AFR","Africa","CPV",20.85,22.88,22.07
"220","Cabo Verde",2010,"Life expectancy at birth (years)","AFR","Africa","CPV",70.83,77.27,74.12
"221","Cabo Verde",2015,"Life expectancy at age 60 (years)","AFR","Africa","CPV",21.03,22.12,21.69
"222","Cabo Verde",2015,"Life expectancy at birth (years)","AFR","Africa","CPV",72.18,77.59,74.88
"223","Cabo Verde",2019,"Life expectancy at age 60 (years)","AFR","Africa","CPV",16.82,21.77,19.66
"224","Cabo Verde",2019,"Life expectancy at birth (years)","AFR","Africa","CPV",69.9,77.94,74.03
"225","Cambodia",2000,"Life expectancy at age 60 (years)","WPR","Western Pacific","KHM",14.41,17.07,15.81
"226","Cambodia",2000,"Life expectancy at birth (years)","WPR","Western Pacific","KHM",56.03,61.24,58.68
"227","Cambodia",2010,"Life expectancy at age 60 (years)","WPR","Western Pacific","KHM",15.52,18.61,17.22
"228","Cambodia",2010,"Life expectancy at birth (years)","WPR","Western Pacific","KHM",64.19,70.01,67.22
"229","Cambodia",2015,"Life expectancy at age 60 (years)","WPR","Western Pacific","KHM",15.83,18.94,17.57
"230","Cambodia",2015,"Life expectancy at birth (years)","WPR","Western Pacific","KHM",66.2,71.89,69.17
"231","Cambodia",2019,"Life expectancy at age 60 (years)","WPR","Western Pacific","KHM",15.93,19.11,17.74
"232","Cambodia",2019,"Life expectancy at birth (years)","WPR","Western Pacific","KHM",67.23,72.75,70.12
"233","Cameroon",2000,"Life expectancy at age 60 (years)","AFR","Africa","CMR",13.68,16.41,15.06
"234","Cameroon",2000,"Life expectancy at birth (years)","AFR","Africa","CMR",51.34,54.35,52.82
"235","Cameroon",2010,"Life expectancy at age 60 (years)","AFR","Africa","CMR",14.44,17.25,15.88
"236","Cameroon",2010,"Life expectancy at birth (years)","AFR","Africa","CMR",55.09,58.09,56.58
"237","Cameroon",2015,"Life expectancy at age 60 (years)","AFR","Africa","CMR",15.02,17.71,16.41
"238","Cameroon",2015,"Life expectancy at birth (years)","AFR","Africa","CMR",57.29,60.99,59.11
"239","Cameroon",2019,"Life expectancy at age 60 (years)","AFR","Africa","CMR",15.77,18.35,17.09
"240","Cameroon",2019,"Life expectancy at birth (years)","AFR","Africa","CMR",60.29,64.5,62.36
"241","Canada",2000,"Life expectancy at age 60 (years)","AMR","Americas","CAN",20.54,24.27,22.51
"242","Canada",2000,"Life expectancy at birth (years)","AMR","Americas","CAN",76.54,81.55,79.1
"243","Canada",2010,"Life expectancy at age 60 (years)","AMR","Americas","CAN",22.84,25.7,24.35
"244","Canada",2010,"Life expectancy at birth (years)","AMR","Americas","CAN",79.26,83.27,81.31
